Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	
0.000500	0.020000	-0.047623	0.004725	100.000000	50.000000	0.040000	
0.001001	0.020000	-0.047649	0.004541	100.000000	50.000000	0.040000	
0.001501	0.020000	-0.047649	0.004541	100.000000	50.000000	0.040000	
0.002001	0.020000	-0.047708	0.004478	100.000000	50.000000	0.040000	
0.002502	0.020000	-0.047708	0.004478	100.000000	50.000000	0.040000	
0.003002	0.020000	-0.047758	0.004383	100.000000	50.000000	0.040000	
0.003502	0.020000	-0.047758	0.004383	100.000000	50.000000	0.040000	
0.004003	0.020000	-0.047758	0.004383	100.000000	50.000000	0.040000	
0.004503	0.020000	-0.047796	0.004244	100.000000	50.000000	0.040000	
0.083087	0.020000	-0.049382	-0.002557	100.000000	50.000000	0.040000	
0.083588	0.020000	-0.049414	-0.002699	100.000000	50.000000	0.040000	
0.084088	0.020000	-0.049414	-0.002699	100.000000	50.000000	0.040000	
0.084588	0.020000	-0.049414	-0.002699	100.000000	50.000000	0.040000	
0.085089	0.020000	-0.049468	-0.002764	100.000000	50.000000	0.040000	
0.085589	0.020000	-0.049468	-0.002764	100.000000	50.000000	0.040000	
0.086089	0.020000	-0.049459	-0.002796	100.000000	50.000000	0.040000	
0.086590	0.020000	-0.049459	-0.002796	100.000000	50.000000	0.040000	
0.087090	0.020000	-0.049513	-0.002861	100.000000	50.000000	0.040000	
0.087591	0.020000	-0.049513	-0.002861	100.000000	50.000000	0.040000	
0.088091	0.020000	-0.049513	-0.002861	100.000000	50.000000	0.040000	
0.088591	0.020000	-0.049558	-0.002958	100.000000	50.000000	0.040000	
0.089098	0.020000	-0.049558	-0.002958	100.000000	50.000000	0.040000	
0.089598	0.020000	-0.049536	-0.003035	100.000000	50.000000	0.040000	
0.090099	0.020000	-0.049536	-0.003035	100.000000	50.000000	0.040000	
0.090599	0.020000	-0.049603	-0.003055	100.000000	50.000000	0.040000	
0.091099	0.020000	-0.049603	-0.003055	100.000000	50.000000	0.040000	
0.091600	0.020000	-0.049590	-0.003100	100.000000	50.000000	0.040000	
0.092100	0.020000	-0.049590	-0.003100	100.000000	50.000000	0.040000	
0.092600	0.020000	-0.049635	-0.003197	100.000000	50.000000	0.040000	
0.093101	0.020000	-0.049635	-0.003197	100.000000	50.000000	0.040000	
0.093601	0.020000	-0.049635	-0.003197	100.000000	50.000000	0.040000	
0.094102	0.020000	-0.049680	-0.003294	100.000000	50.000000	0.040000	
